Entry	Protein names	Gene names	Length	Region
P25566	Peptide methionine sulfoxide reductase 2 (EC 1.8.4.12)	MXR2 MSRB YCL033C YCL33C	168	
P34077	Nucleoporin NIC96 (96 kDa nucleoporin-interacting component) (Nuclear pore protein NIC96)	NIC96 YFR002W	839	REGION 25..60;  /note="Leucine zipper-like heptad repeat, required for interaction with NSP1"
Q06162	Inner kinetochore subunit NKP2 (Constitutive centromere-associated network protein NKP2) (Non-essential kinetochore protein 2)	NKP2 YLR315W	153	
Q03338	U4/U6 small nuclear ribonucleoprotein PRP3 (Pre-mRNA-splicing factor 3)	PRP3 RNA3 YDR473C D8035.16	469	REGION 1..45;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P23594	Serine/threonine-protein phosphatase PP2A-1 catalytic subunit (EC 3.1.3.16)	PPH21 YDL134C D2180	369	REGION 1..57;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 348..369;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53718	Transcription factor NRM1 (Negative regulator of MBF targets 1)	NRM1 YNR009W N2044	249	REGION 208..230;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53935	Stress response protein NST1 (Negatively-affecting salt tolerance protein 1)	NST1 YNL091W N2231	1240	REGION 1..76;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 446..593;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 634..744;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 951..980;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 998..1029;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1214..1240;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12080	Ribosome biogenesis protein NOP53 (Nucleolar protein 53)	NOP53 YPL146C LPI2C P2610	455	REGION 1..25;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 264..333;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P12695	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)	LAT1 ODP2 PDA2 YNL071W N2374	482	REGION 122..170;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 214..251;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P16387	Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial (EC 1.2.4.1) (Pyruvate dehydrogenase complex component E1 alpha) (PDHE1-A)	PDA1 YER178W	420	
P40897	Oligopeptide transporter 1 (High affinity glutathione transporter 1)	OPT1 GSH11 HGT1 YJL212C HRD799 J0236	799	REGION 1..26;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 43..64;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38271	Protein OPY1 (Overproduction-induced pheromone-resistant yeast protein 1)	OPY1 YBR129C YBR1004	328	REGION 19..52;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12255	Vacuolar v-SNARE NYV1 (R-SNARE NYV1) (New v-SNARE 1) (Synaptobrevin NYV1)	NYV1 MAM2 YLR093C	253	REGION 147..166;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P06197	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase)	PIS1 PIS YPR113W P8283.5	220	
P29056	Transcription factor IIIB 70 kDa subunit (TFIIIB) (B-related factor 1) (BRF-1)	BRF1 PCF4 TDS4 YGR246C	596	REGION 363..421;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 509..534;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q08921	Target of rapamycin complex 1 subunit TCO89 (TORC1 subunit TCO89) (89 kDa TOR complex 1 protein)	TCO89 YPL180W	799	REGION 18..41;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 97..171;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 201..284;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 324..391;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 418..476;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 538..568;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 663..685;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q03774	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit TRM82 (Transfer RNA methyltransferase 82)	TRM82 YDR165W YD8358.19	444	REGION 55..92;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38932	Vacuolar protein sorting-associated protein 45	VPS45 STT10 VPL28 YGL095C	577	
Q03944	Vacuolar protein sorting-associated protein 64 (Factor arrest protein 9)	VPS64 FAR9 YDR200C YD9346.10C	604	REGION 1..89;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 539..561;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P47165	Xanthine phosphoribosyltransferase 1 (XPRT) (EC 2.4.2.-)	XPT1 YJR133W J2118	209	
P25651	Monopolin complex subunit CSM1 (Chromosome segregation in meiosis protein 1)	CSM1 SPO86 YCR086W YCR86W	190	
P53318	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial (EC 1.14.13.-) (Ubiquinone C4-deaminase) (EC 3.5.-.-)	COQ6 YGR255C G9165	479	
P32378	4-hydroxybenzoate polyprenyltransferase, mitochondrial (4-HB polyprenyltransferase) (EC 2.5.1.39) (4-hydroxybenzoate hexaprenyltransferase) (Para-hydroxybenzoate--polyprenyltransferase) (PHB:PPT) (PHB:polyprenyltransferase)	COQ2 YNR041C N3419	372	REGION 134..156;  /note="Allylic polyprenyl diphosphate-binding site";  /evidence="ECO:0000255|HAMAP-Rule:MF_03189, ECO:0000305|PubMed:1740455"
P24309	Lariat debranching enzyme (EC 3.1.-.-)	DBR1 PRP26 YKL149C YKL604	405	REGION 242..277;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P32601	Protein DSS4	DSS4 YPR017C LPZ16C YP9531.11C	143	
Q06706	Elongator complex protein 1 (Gamma-toxin target 1) (Protein IKI3)	IKI3 ELP1 TOT1 YLR384C L3502.7	1349	REGION 919..1349;  /note="Mediates dimerization";  /evidence="ECO:0000269|PubMed:26261306"; REGION 1214..1245;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1228..1246;  /note="Required for binding to tRNA";  /evidence="ECO:0000269|PubMed:24750273"
Q02884	Elongator complex protein 4 (Gamma-toxin target 7) (HAT-associated protein 1)	ELP4 HAP1 TOT7 YPL101W	456	REGION 1..91;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 424..444;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q05874	Protein N-terminal and lysine N-methyltransferase EFM7 (EC 2.1.1.-) (Elongation factor methyltransferase 7) (Nicotinamide N-methyltransferase-like protein 1)	NNT1 EFM7 YLR285W	261	REGION 1..27;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 90..92;  /note="S-adenosyl-L-methionine binding";  /evidence="ECO:0000250|UniProtKB:Q5VZV1, ECO:0000255|HAMAP-Rule:MF_03223"
P52911	Glucan 1,3-beta-glucosidase 2 (EC 3.2.1.58) (Exo-1,3-beta-glucanase 2)	EXG2 YDR261C YD9320A.12C	562	
P38231	Protein FMP23, mitochondrial	FMP23 YBR047W YBR0422	175	
P40985	Probable E3 ubiquitin-protein ligase HUL4 (EC 2.3.2.26) (HECT ubiquitin ligase 4) (HECT-type E3 ubiquitin transferase HUL4)	HUL4 YJR036C J1608	892	REGION 31..70;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P32899	U3 small nucleolar ribonucleoprotein protein IMP3 (U3 snoRNP protein IMP3) (Interacting with MPP10 protein 3)	IMP3 YHR148W	183	
P34234	Protein LOT5 (Low temperature-responsive protein 5)	LOT5 YKL183W	306	
P47055	Outer spore wall protein 4 (Loss of heterozygosity protein 1)	LOH1 OSW4 YJL038C J1232	219	
P34239	Protein LST4 (Lethal with SEC30 protein 4)	LST4 YKL176C YKL642	828	REGION 1..25;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 392..411;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 423..444;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 538..569;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38295	Medium-chain fatty acid ethyl ester synthase/esterase 2 (Alcohol O-acetyltransferase) (EC 2.3.1.84) (EC 3.1.1.-) (Ethanol hexanoyl transferase 1)	EHT1 YBR177C YBR1239	451	
Q06567	ABC1 family protein MCP2 (MDM10-complementing protein 2) (MIOREX complex component 13) (Mitochondrial organization of gene expression protein 13)	MCP2 MRX13 YLR253W L9672.2	569	
P29469	DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2)	MCM2 YBL023C YBL0438	868	REGION 1..65;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 87..106;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 704..728;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38264	SRP-independent targeting protein 3 (Inorganic phosphate transport protein PHO88) (Phosphate metabolism protein PHO88)	PHO88 SND3 YBR106W YBR0835	188	REGION 157..188;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q05778	Proteasome chaperone 1 (Proteasome biogenesis-associated protein 1)	PBA1 POC1 YLR199C	276	
P36040	Proteasome assembly chaperone 2 (Alpha-1-proteinase inhibitor-degradation deficient protein 66) (Proteasome biogenesis-associated protein 2)	ADD66 PBA2 POC2 YKL206C	267	
Q12310	Serine/threonine-protein kinase PRR2 (EC 2.7.11.1) (Pheromone response regulator 2)	PRR2 YDL214C D1014	699	REGION 168..193;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P33329	Serine/threonine-protein phosphatase PP-Z2 (EC 3.1.3.16)	PPZ2 YDR436W D9461.22	710	REGION 1..382;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12335	Protoplast secreted protein 2	PST2 YDR032C D3422 YD9673.02C	198	
P38972	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase)	ADE6 YGR061C	1358	REGION 339..363;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P41835	Thiamine biosynthetic bifunctional enzyme [Includes: Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase); Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (THZ kinase)]	THI6 YPL214C	540	REGION 1..238;  /note="Thiamine-phosphate synthase"; REGION 43..47;  /note="HMP-PP binding";  /evidence="ECO:0000250"; REGION 143..145;  /note="THZ-P binding";  /evidence="ECO:0000250"; REGION 209..210;  /note="THZ-P binding";  /evidence="ECO:0000250"; REGION 239..540;  /note="Hydroxyethylthiazole kinase"
P47153	Topoisomerase I damage affected protein 4	TDA4 YJR116W J2031	279	
Q01477	Ubiquitin carboxyl-terminal hydrolase 3 (EC 3.4.19.12) (Deubiquitinating enzyme 3) (Ubiquitin thioesterase 3) (Ubiquitin-specific-processing protease 3)	UBP3 YER151C	912	REGION 1..30;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 68..176;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 241..384;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 396..417;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12164	Pore membrane protein of 33 kDa	POM33 YLL023C L1201	279	
Q02771	Protein PET117, mitochondrial	PET117 YER058W	107	
P40100	Protoporphyrin uptake protein 1	PUG1 YER185W	303	
Q02256	Tyrosine-protein phosphatase YVH1 (PTPase YVH1) (EC 3.1.3.48)	YVH1 YIR026C	364	
P33312	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (DAROPP reductase) (DARP reductase) (EC 1.1.1.302) (2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one reductase) (2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate synthase) (DARIPP synthase)	RIB7 YBR153W YBR1203	244	
P38629	Replication factor C subunit 3 (Replication factor C3) (Activator 1 40 kDa subunit)	RFC3 YNL290W N0533	340	
P20433	DNA-directed RNA polymerase II subunit RPB4 (RNA polymerase II subunit B4) (B32) (DNA-directed RNA polymerase II 32 kDa polypeptide)	RPB4 YJL140W J0654	221	REGION 1..23;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 71..120;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P36121	DNA-directed RNA polymerase III subunit RPC5 (RNA polymerase III subunit C5) (DNA-directed RNA polymerase III 37 kDa polypeptide) (RNA polymerase III subunit C37)	RPC37 YKR025W	282	REGION 1..70;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P35196	Dehydrodolichyl diphosphate synthase complex subunit RER2 (DEDOL-PP synthase) (EC 2.5.1.87) (Ditrans,polycis-polyprenyl diphosphate synthase ((2E,6E)-farnesyl diphosphate specific))	RER2 YBR002C YBR0107	286	
Q3E757	60S ribosomal protein L11-B (L16) (Large ribosomal subunit protein uL5-B) (RP39) (YL22)	RPL11B RP39B RPL16B YGR085C	174	
P31334	54S ribosomal protein L9, mitochondrial (Mitochondrial large ribosomal subunit protein uL3m) (YmL9)	MRPL9 YGR220C G8520	269	
P10664	60S ribosomal protein L4-A (L2) (Large ribosomal subunit protein uL4-A) (RP2) (YL2)	RPL4A RPL2 RPL2A YBR031W YBR0315	362	REGION 277..362;  /note="C-terminal-extended nuclear localization signal";  /evidence="ECO:0000269|PubMed:25936803"
P36534	54S ribosomal protein L40, mitochondrial (Mitochondrial large ribosomal subunit protein uL24m) (YmL40)	MRPL40 YPL173W	297	
P13433	DNA-directed RNA polymerase, mitochondrial (EC 2.7.7.6)	RPO41 YFL036W	1351	
Q02773	Ribonuclease P protein component, mitochondrial (RNase P) (EC 3.1.26.5)	RPM2 YML091C	1202	REGION 109..134;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P32565	26S proteasome regulatory subunit RPN2	RPN2 SEN3 YIL075C	945	REGION 810..851;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12377	26S proteasome regulatory subunit RPN6 (Proteasome non-ATPase subunit 4)	RPN6 NAS4 YDL097C D2381	434	
Q3E7Y3	40S ribosomal protein S22-B (RP50) (S24) (Small ribosomal subunit protein uS8-B) (YP58) (YS22)	RPS22B RPS24B YLR367W L8039.6	130	
P0CX30	40S ribosomal protein S23-B (RP37) (S28) (Small ribosomal subunit protein uS12-B) (YS14)	RPS23B RPS28B YPR132W P9659.9	145	
P32905	40S ribosomal protein S0-A (Nucleic acid-binding protein NAB1A) (Small ribosomal subunit protein uS2-A)	RPS0A NAB1 NAB1A YST1 YGR214W	252	REGION 209..252;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P22438	Methionine--tRNA ligase, mitochondrial (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	MSM1 YGR171C	575	
P38756	tRNA threonylcarbamoyladenosine dehydratase 1 (EC 6.1.-.-) (t(6)A37 dehydratase 1)	TCD1 YHR003C	429	
P53230	Phosphatidate cytidylyltransferase, mitochondrial (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (Mitochondrial import protein MMP37) (Mitochondrial matrix protein of 37 kDa) (Mitochondrial translocator assembly and maintenance protein 41)	TAM41 MMP37 YGR046W	385	
P35169	Serine/threonine-protein kinase TOR1 (EC 2.7.11.1) (Dominant rapamycin resistance protein 1) (Phosphatidylinositol kinase homolog TOR1) (Target of rapamycin kinase 1)	TOR1 DRR1 YJR066W J1803	2470	REGION 1775..2157;  /note="Interaction with FKBP-rapamycin"; REGION 2099..2105;  /note="G-loop";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00269"; REGION 2272..2280;  /note="Catalytic loop";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00269"; REGION 2292..2317;  /note="Activation loop";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00269"
Q07993	D-xylulose reductase (EC 1.1.1.9) (Xylitol dehydrogenase) (XDH)	XYL2 YLR070C	356	
Q3E820	Uncharacterized protein YBR196C-A	YBR196C-A	49	
Q3E731	Cytochrome c oxidase assembly protein COX19	COX19 YLL018C-A	98	REGION 1..25;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 76..98;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P35206	Mannosyl phosphorylinositol ceramide synthase regulatory protein CSG2	CSG2 CLS2 YBR036C YBR0404	410	
P47031	Inclusion body clearance protein IML2 (Increased minichromosome loss protein 2)	IML2 YJL082W J1007	731	REGION 1..26;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q04772	Increased recombination centers protein 21	IRC21 YMR073C YM9916.12C	201	
Q08416	Increased recombination centers protein 23	IRC23 YOR044W	157	
P39005	Cell wall synthesis protein KRE9	KRE9 YJL174W J0504	276	
Q04431	Spindle pole body component KRE28	KRE28 YDR532C	385	
P38139	Lipid droplet hydrolase 1 (EC 3.1.1.3) (Lipid esterase) (Triacylglycerol lipase)	LDH1 YBR204C YBR1444	375	
P39526	AP-1 accessory protein LAA1 (Large AP-1 accessory protein 1)	LAA1 YJL207C HRD550 J0312	2014	
P32787	Mitochondrial genome maintenance protein MGM101	MGM101 MGM9 YJR144W J2181	269	
P32389	Transcriptional activator of sulfur metabolism MET4 (Methionine-requiring protein 4)	MET4 YNL103W N2177	672	REGION 1..44;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 95..144;  /note="Transcriptional activation"; REGION 157..265;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 188..235;  /note="Inhibitory region; AdoMet responsiveness; required for interaction with MET30"; REGION 299..347;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 312..375;  /note="Auxiliary; required for high transcriptional activity under nonrepressive growth conditions"; REGION 375..403;  /note="Required for interaction with MET31 and MET32"; REGION 475..574;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 601..612;  /note="Basic motif";  /evidence="ECO:0000250"; REGION 614..642;  /note="Leucine-zipper";  /evidence="ECO:0000250"
Q00723	Pre-mRNA-splicing factor 38 (Pre-mRNA-processing factor 38)	PRP38 YGR075C	242	REGION 217..242;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40506	Phosphopantothenate--cysteine ligase CAB2 (EC 6.3.2.5) (Coenzyme A biosynthesis protein 2) (Phosphopantothenoylcysteine synthetase) (PPC synthetase)	CAB2 YIL083C	365	REGION 228..250;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38208	Ribonucleases P/MRP protein subunit POP8 (EC 3.1.26.5) (RNA-processing protein POP8) (RNases P/MRP 15.5 kDa subunit)	POP8 YBL018C YBL0301	133	
P32838	Serine/threonine-protein phosphatase PP2A-like PPG1 (EC 3.1.3.16)	PPG1 PPG YNR032W N3281	368	
P04161	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	ADE8 YDR408C D9509.26	214	REGION 12..14;  /note="5'-phosphoribosylglycinamide binding";  /evidence="ECO:0000250|UniProtKB:P08179"; REGION 105..108;  /note="10-formyltetrahydrofolate binding";  /evidence="ECO:0000250|UniProtKB:P08179"
P39933	Transcription factor IIIA (TFIIIA) (Putative zinc finger protein 1)	PZF1 TFC2 TFIIIA YPR186C P9677.9	429	REGION 1..45;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 406..429;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P27796	3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)	POT1 FOX3 POX3 YIL160C	417	
P53257	Mitochondrial thiamine pyrophosphate carrier 1	TPC1 YGR096W	314	
Q02208	Topoisomerase 1-associated factor 2	TOF2 YKR010C YK109	771	REGION 48..69;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 271..330;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 346..367;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 633..771;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40310	Outward-rectifier potassium channel TOK1 (Two-domain outward rectifier K(+) channel YORK)	TOK1 DUK1 YJL093C J0911	691	REGION 504..550;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P36164	Golgi apparatus membrane protein TVP38 (TLG2-vesicle protein of 38 kDa)	TVP38 YKR088C YKR408	337	REGION 163..274;  /note="VTT domain";  /evidence="ECO:0000305|PubMed:30093494"
P33753	tRNA (uracil(54)-C(5))-methyltransferase (EC 2.1.1.35) (Transfer RNA methyltransferase 2) (tRNA(m5U54)-methyltransferase)	TRM2 NUC2 NUD1 RNC1 YKR056W	639	REGION 78..113;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P54885	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (GSA dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)	PRO2 YOR323C O6155	456	
Q08931	Pheromone-regulated membrane protein 3	PRM3 YPL192C	133	REGION 36..100;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P15938	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 (EC 3.6.4.13)	PRP16 YKR086W YKR406	1071	REGION 132..180;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1035..1071;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P33411	Pre-mRNA-splicing factor 18	PRP18 YGR006W	251	REGION 17..67;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P08456	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8) (Phosphatidylserine synthase)	CHO1 PSS PSS1 YER026C	276	REGION 1..21;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40212	60S ribosomal protein L13-B (Large ribosomal subunit protein eL13-B)	RPL13B RPL13 YMR142C YM9375.11C	199	
P46990	60S ribosomal protein L17-B (L20) (Large ribosomal subunit protein uL22-B) (YL17)	RPL17B RPL20B YJL177W J0493	184	
P0CX44	60S ribosomal protein L1-B (L10a) (Large ribosomal subunit protein uL1-B)	RPL1B SSM1B SSM2 YGL135W G2834	217	
P0CH08	Ubiquitin-60S ribosomal protein L40 [Cleaved into: Ubiquitin; 60S ribosomal protein L40-A (CEP52) (Large ribosomal subunit protein eL40-A)]	RPL40A UBI1 YIL148W	128	
Q12508	E3 ubiquitin-protein ligase RMD5 (EC 2.3.2.27) (Glucose-induced degradation protein 2) (Required for meiotic nuclear division protein 5) (Sporulation protein RMD5)	RMD5 GID2 YDR255C YD9320A.05c	421	
Q12487	54S ribosomal protein L23, mitochondrial (Mitochondrial large ribosomal subunit protein uL13m) (YmL23)	MRPL23 YOR150W O3530	163	
P40856	SIT4-associating protein SAP185	SAP185 YJL098W J0840	1058	REGION 34..71;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 135..202;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 513..556;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 818..862;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 873..892;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 934..992;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P36123	SIT4-associating protein SAP190	SAP190 YKR028W	1033	REGION 32..82;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 147..213;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 768..1033;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38786	Ribonuclease P/MRP protein subunit RPP1 (EC 3.1.26.5) (RNA-processing protein RPP1) (RNaseP/MRP 32.2 kDa subunit)	RPP1 YHR062C	293	
Q04053	Sorting nexin-41	SNX41 YDR425W	625	REGION 1..90;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P36119	RQC trigger complex subunit RQT4	RQT4 YKR023W	530	REGION 75..153;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 290..323;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 479..502;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P32786	RNA polymerase I-specific transcription initiation factor RRN6	RRN6 YBL014C YBL0311 YBL0312	894	REGION 803..894;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P05756	40S ribosomal protein S13 (S27a) (Small ribosomal subunit protein uS15) (YS15)	RPS13 RPS13C YDR064W D4252 YD9609.18	151	
P46959	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61 (EC 2.1.1.220) (General control non-derepressible protein 14) (Protein GCD14) (tRNA(m1A58)-methyltransferase subunit TRM61) (tRNA(m1A58)MTase subunit TRM61)	GCD14 TRM61 YJL125C J0710	383	REGION 121..124;  /note="S-adenosyl-L-methionine binding";  /evidence="ECO:0000269|PubMed:27582183, ECO:0000312|PDB:5ERG"; REGION 168..169;  /note="S-adenosyl-L-methionine binding";  /evidence="ECO:0000269|PubMed:27582183, ECO:0000312|PDB:5ERG"
P38869	Protein SVP26 (Sed5 compartment vesicle protein of 26 kDa)	SVP26 YHR181W	228	
P39077	T-complex protein 1 subunit gamma (TCP-1-gamma) (CCT-gamma)	CCT3 BIN2 TCP3 YJL014W J1336	534	
P38254	Probable tubulin--tyrosine ligase PBY1 (EC 6.3.2.25) (P-body-associated protein 1)	PBY1 YBR094W YBR0821	753	
P38355	Uncharacterized transporter YBR287W	YBR287W YBR2034	427	
