Entry	Gene.names	Protein.names
P46962	CTK2	CTD kinase subunit beta (CTDK-I subunit beta) (CTD kinase 38 kDa subunit) (CTD kinase subunit 2)
P40087	DDI1	DNA damage-inducible protein 1 (EC 3.4.23.-) (v-SNARE-master 1)
P25559	DCC1	Sister chromatid cohesion protein DCC1 (Defective in sister chromatid cohesion protein 1)
P32525	ECM25	Protein ECM25 (Extracellular matrix protein 25)
P40568	DSN1	Kinetochore-associated protein DSN1
Q04089	DOT1	Histone-lysine N-methyltransferase, H3 lysine-79 specific (EC 2.1.1.360) (Disrupter of telomere silencing protein 1) (Histone H3-K79 methyltransferase) (H3-K79-HMTase) (Lysine N-methyltransferase 4)
P40516	EFM4	Protein-lysine N-methyltransferase EFM4 (EC 2.1.1.-) (Elongation factor methyltransferase 4) (Secretion and early endocytosis protein 1)
P53246	ENV11	Late endosome and vacuole interface protein 11
P02293	HTB1	Histone H2B.1 (Suppressor of Ty protein 12)
P35843	HES1	Protein HES1 (Oxysterol-binding protein homolog 5)
P48353	HLJ1	Protein HLJ1
Q08981	ACM1	APC/C-CDH1 modulator 1
P00330	ADH1	Alcohol dehydrogenase 1 (EC 1.1.1.1) (Alcohol dehydrogenase I) (YADH-1)
P47019	ALB1	Ribosome biogenesis protein ALB1
P32375	DAL1	Allantoinase (EC 3.5.2.5)
Q03673	AIM34	Altered inheritance of mitochondria protein 34, mitochondrial
Q12449	AHA1	Hsp90 co-chaperone AHA1 (Activator of Hsp90 ATPase protein 1)
P32794	AFG2	ATPase family gene 2 protein (EC 3.6.4.10) (Diazaborine resistance gene 1 protein)
Q07528	ATG20	Autophagy-related protein 20 (Cytoplasm to vacuole targeting protein 20) (Sorting nexin-42)
P81451	ATP19	ATP synthase subunit K, mitochondrial
P35727	BLI1	Biogenesis of lysosome-related organelles complex 1 subunit BLI1 (BLOC-1 subunit BLI1) (BLOC-1 interactor 1)
P47041	BIT61	Target of rapamycin complex 2 subunit BIT61 (TORC2 subunit BIT61) (61 kDa binding partner of TOR2 protein)
P25356	BPH1	Beige protein homolog 1
P39113	CAT8	Regulatory protein CAT8
P53838	BOR1	Boron transporter 1
P38891	BAT1	Branched-chain-amino-acid aminotransferase, mitochondrial (BCAT) (EC 2.6.1.42) (Protein ECA39) (Protein TWT1)
P41733	GAB1	GPI transamidase component GAB1 (Cell division control protein 91)
P16522	CDC23	Anaphase-promoting complex subunit CDC23 (Cell division control protein 23)
P07834	CDC4	Cell division control protein 4 (E3 ubiquitin ligase complex SCF subunit CDC4) (F-box protein CDC4)
Q3E7A9	CMC4	Cx9C motif-containing protein 4, mitochondrial
P33307	CSE1	Importin alpha re-exporter (Chromosome segregation protein CSE1)
P32471	EFB1	Elongation factor 1-beta (EF-1-beta) (Eukaryotic elongation factor 1Balpha) (eEF1Balpha) (Translation elongation factor 1B alpha)
P37292	SHM1	Serine hydroxymethyltransferase, mitochondrial (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)
Q96VH4	HBN1	Putative nitroreductase HBN1 (EC 1.-.-.-) (Homologous to bacterial nitroreductases protein 1)
Q04410	GRH1	GRASP65 homolog protein 1
Q08992	HSP32	Probable glutathione-independent glyoxalase HSP32 (EC 4.2.1.130) (Glyoxalase 3 homolog 2) (Heat shock protein 32)
P25605	ILV6	Acetolactate synthase small subunit, mitochondrial (Acetohydroxy-acid synthase small subunit) (AHAS) (ALS)
P47046	IRC8	Uncharacterized protein IRC8 (Increased recombination centers protein 8)
P32361	IRE1	Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]
P53137	CUE3	CUE domain-containing protein 3 (Coupling of ubiquitin conjugation to ER degradation protein 3)
P00175	CYB2	Cytochrome b2, mitochondrial (EC 1.1.2.3) (L-lactate dehydrogenase [Cytochrome]) (L-lactate ferricytochrome C oxidoreductase) (L-LCR)
Q12517	DCP1	mRNA-decapping enzyme subunit 1
P32325	DBF4	DDK kinase regulatory subunit DBF4 (Dumbbell forming protein 4)
P38307	DER1	Degradation in the endoplasmic reticulum protein 1
P32469	DPH5	Diphthine methyl ester synthase (EC 2.1.1.314) (Diphthamide biosynthesis methyltransferase)
P43555	EMP47	Protein EMP47 (47 kDa endomembrane protein) (Endosomal P44 protein)
P47175	HMS2	Probable transcription factor HMS2 (High-copy MEP suppressor 2)
Q04429	HLR1	Protein HLR1 (LRE1 homolog)
P53187	HOP2	Homologous-pairing protein 2
P40037	HMF1	Protein HMF1 (High dosage growth inhibitor) (Homologous mitochondrial matrix factor 1)
Q08561	IES4	Ino eighty subunit 4
P38912	TIF11	Eukaryotic translation initiation factor 1A (eIF-1A) (Eukaryotic translation initiation factor 4C) (eIF-4C)
P47125	BNA2	Indoleamine 2,3-dioxygenase (IDO) (EC 1.13.11.52) (Biosynthesis of nicotinic acid protein 2)
Q12522	TIF6	Eukaryotic translation initiation factor 6 (eIF-6)
P40886	HXT8	Hexose transporter HXT8
Q04329	ICY1	Interacting with cytoskeleton protein 1
P42833	HXT14	Hexose transporter HXT14
P47042	IKS1	Probable serine/threonine-protein kinase IKS1 (EC 2.7.11.1) (IRA1 kinase suppressor 1)
P53631	HXT17	Hexose transporter HXT17
P32585	SRB5	Mediator of RNA polymerase II transcription subunit 18 (Mediator complex subunit 18) (Suppressor of RNA polymerase B 5)
P17709	GLK1	Glucokinase-1 (EC 2.7.1.2) (Glucose kinase 1) (GLK-1)
P38156	MAL31	Maltose permease MAL31 (Maltose transport protein MAL31)
P38158	MAL32	Alpha-glucosidase MAL32 (EC 3.2.1.20) (Maltase)
P38157	MAL33	Maltose fermentation regulatory protein MAL33
P22133	MDH2	Malate dehydrogenase, cytoplasmic (EC 1.1.1.37)
P29496	MCM5	Minichromosome maintenance protein 5 (EC 3.6.4.12) (Cell division control protein 46)
P40957	MAD1	Spindle assembly checkpoint component MAD1 (Mitotic arrest deficient protein 1)
P17505	MDH1	Malate dehydrogenase, mitochondrial (EC 1.1.1.37)
P47025	MDV1	Mitochondrial division protein 1 (Mitochondria fission 2 protein)
Q12285	MDY2	Ubiquitin-like protein MDY2 (Golgi to ER traffic protein 5) (Mating-deficient protein 2) (Translation machinery-associated protein 24)
P32419	MDH3	Malate dehydrogenase, peroxisomal (EC 1.1.1.37)
P47074	MAD3	Spindle assembly checkpoint component MAD3 (Mitotic MAD3 protein)
P38132	MCM7	DNA replication licensing factor MCM7 (EC 3.6.4.12) (Cell division control protein 47) (Minichromosome maintenance protein 7)
P38174	MAP2	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Peptidase M)
O13525	COQ4	Ubiquinone biosynthesis protein COQ4, mitochondrial (Coenzyme Q biosynthesis protein 4)
P00424	COX5A	Cytochrome c oxidase subunit 5A, mitochondrial (Cytochrome c oxidase polypeptide Va)
P27680	COQ3	Ubiquinone biosynthesis O-methyltransferase, mitochondrial (3,4-dihydroxy-5-hexaprenylbenzoate methyltransferase) (DHHB methyltransferase) (DHHB-MT) (DHHB-MTase) (3-demethylubiquinol 3-O-methyltransferase) (EC 2.1.1.64) (3-demethylubiquinone-6 3-O-methyltransferase) (Hexaprenyldihydroxybenzoate methyltransferase) (Polyprenyldihydroxybenzoate methyltransferase) (EC 2.1.1.114)
P53923	NCS2	Cytoplasmic tRNA 2-thiolation protein 2 (Needs CLA4 to survive protein 2) (Thiolation of uridine in cytoplasmic tRNA protein 2)
Q06469	CUR1	Curing of [URE3] protein 1
P21182	SPE2	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase alpha chain; S-adenosylmethionine decarboxylase beta chain]
P53550	DCP2	m7GpppN-mRNA hydrolase (EC 3.6.1.62) (Protein PSU1) (mRNA-decapping enzyme subunit 2)
P36162	DAD2	DASH complex subunit DAD2 (DUO1 and DAM1-interacting protein 2) (Helper of ASK1 protein 1) (Outer kinetochore protein DAD2)
Q99288	DET1	Broad-range acid phosphatase DET1 (EC 3.1.3.-) (Decreased ergosterol transport protein 1)
P25453	DMC1	Meiotic recombination protein DMC1
P69771	DID2	Vacuolar protein-sorting-associated protein 46 (Charged multivesicular body protein 1) (DOA4-independent degradation protein 2) (Fifty two inhibitor 1)
P53208	EAT1	Ethanol acetyltransferase 1 (EC 2.3.1.268) (Acetyl-CoA hydrolase) (EC 3.1.2.1) (Acetyl-CoA thioesterase) (Alcohol acetyltransferase) (AAT) (Ethyl acetate esterase) (EC 3.1.1.-)
P53073	EMC4	ER membrane protein complex subunit 4
P38732	EFM1	Protein-lysine N-methyltransferase EFM1 (EC 2.1.1.-) (Elongation factor methyltransferase 1)
Q04651	ERV41	ER-derived vesicles protein ERV41
P53121	FLC3	Putative flavin carrier protein 3 (FAD transporter 3) (TRP-like ion channel FLC3)
P53834	HCH1	Hsp90 co-chaperone HCH1 (High-copy Hsp90 suppressor protein 1)
P32599	SAC6	Fimbrin (ABP67)
Q08886	GPB1	Guanine nucleotide-binding protein subunit beta 1 (Gbeta mimic kelch protein 1)
P07286	ALG7	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (EC 2.7.8.15) (GlcNAc-1-P transferase) (G1PT) (GPT) (N-acetylglucosamine-1-phosphate transferase) (Tunicamycin resistance protein 1)
P38143	GPX2	Glutathione peroxidase-like peroxiredoxin 2 (EC 1.11.1.24) (Glutathione peroxidase homolog 2) (GPx 2)
Q05905	HRI1	Protein HRI1 (HRR25-interacting protein 1)
Q12345	IES3	Ino eighty subunit 3
Q08416	IRC23	Increased recombination centers protein 23
P28777	ARO2	Chorismate synthase (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)
P54074	ASI1	Protein ASI1 (Amino acid sensor-independent protein 1)
P35193	ATG19	Autophagy-related protein 19 (Cytoplasm-to-vacuole targeting protein 19)
Q06671	ATG23	Autophagy-related protein 23 (Cytoplasm to vacuole targeting protein 23)
Q12092	ATG29	Autophagy-related protein 29
P53855	ATG2	Autophagy-related protein 2 (Sporulation-specific protein 72)
Q12292	ATG34	Autophagy-related protein 34
P18634	ART10	Arrestin-related trafficking adapter 10
Q05123	ARP9	Actin-like protein ARP9 (Chromatin structure-remodeling complex protein ARP9) (SWI/SNF complex component ARP9)
P40518	ARC15	Actin-related protein 2/3 complex subunit 5 (Arp2/3 complex 16 kDa subunit) (p16-ARC)
P61829	OLI1	ATP synthase subunit 9, mitochondrial (Lipid-binding protein) (Oligomycin resistance protein 1)
P38323	MCX1	ATP-dependent clpX-like chaperone, mitochondrial (mtClpX) (ATP-dependent unfoldase ClpX)
Q3E7B2	COA3	Cytochrome c oxidase assembly factor 3, mitochondrial (Cytochrome c oxidase protein 25) (Required for respiratory growth protein 10)
P43132	BRE2	COMPASS component BRE2 (Brefeldin-A sensitivity protein 2) (Complex proteins associated with SET1 protein BRE2) (Set1C component BRE2)
P53727	BUD17	Putative pyridoxal kinase BUD17 (EC 2.7.1.35) (Bud site selection protein 17)
P38356	BSD2	Metal homeostatis protein BSD2 (Bypass SOD defects protein 2)
P47176	BAT2	Branched-chain-amino-acid aminotransferase, cytosolic (BCAT) (EC 2.6.1.42) (Protein TWT2)
Q12128	BAG7	Rho-GTPase-activating protein BAG7
P48237	CCM1	Mitochondrial group I intron splicing factor CCM1 (COB and COX1 mRNA maturation protein 1) (Required for respiratory growth protein 2)
Q06680	YCG1	Condensin complex subunit 3 (CAPG homolog)
P47001	CIS3	Cell wall mannoprotein CIS3 (Covalently-linked cell wall protein 5/11) (Protein with internal repeats 4) (Soluble cell wall protein 8)
P32344	QRI5	Mitochondrial mRNA-processing protein COX24 (Mitochondrial small ribosomal subunit protein mS38)
Q04689	AIM32	Altered inheritance of mitochondria protein 32
P43548	AGP3	General amino acid permease AGP3
P53730	ALG12	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (EC 2.4.1.260) (Asparagine-linked glycosylation protein 12) (Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1,6-mannosyltransferase) (Extracellular mutant protein 39) (Mannosyltransferase ALG12)
P32449	ARO4	Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)
P38840	ARO9	Aromatic amino acid aminotransferase 2 (EC 2.6.1.57) (Aromatic amino acid aminotransferase II) (Aromatic amino acid-requiring protein 9) (Kynurenine aminotransferase I) (KAT I) (EC 2.6.1.7)
Q02887	ATG21	Autophagy-related protein 21 (Cytoplasm to vacuole transport protein 21) (Homologous with SVP1 protein 1) (Maturation of proaminopeptidase I protein 1)
Q06321	ATG26	Sterol 3-beta-glucosyltransferase (EC 2.4.1.173) (Autophagy-related protein 26) (UDP-glycosyltransferase 51)
P80428	ARP4	Actin-related protein 4 (Actin-like protein ARP4) (Actin-like protein 4)
P00856	ATP8	ATP synthase protein 8 (A6L) (ATP-associated protein 1) (F-ATPase subunit 8)
Q05583	CIA1	Cytosolic iron-sulfur protein assembly protein 1
P48562	CLA4	Serine/threonine-protein kinase CLA4 (EC 2.7.11.1)
Q3E846	COA6	Cytochrome c oxidase assembly factor 6
Q06405	ATP17	ATP synthase subunit f, mitochondrial
P38360	PCA1	P-type cation-transporting ATPase (EC 7.2.2.21) (Cadmium resistance protein 2) (Cadmium-translocating P-type ATPase) (Cd(2+)-exporting ATPase)
P38636	ATX1	Metal homeostasis factor ATX1
Q12691	ENA5	Sodium transport ATPase 5 (EC 7.2.2.3)
P33314	BUD2	Inhibitory regulator protein BUD2/CLA2 (Bud site selection protein 2)
P25627	BUD23	18S rRNA (guanine(1575)-N(7))-methyltransferase (EC 2.1.1.309) (Bud site selection protein 23)
P53082	BOL2	BolA-like protein 2 (Altered inheritance rate of mitochondria protein 15) (Fe repressor of activation 2)
P39969	BOI2	Protein BOI2 (Protein BEB1)
Q06150	BOP2	Protein BOP2 (Bypass of PAM1 protein 2)
Q08965	BMS1	Ribosome biogenesis protein BMS1
P80235	YAT1	Putative mitochondrial carnitine O-acetyltransferase (EC 2.3.1.7)
Q06549	CDD1	Cytidine deaminase (CDA) (EC 3.5.4.5) (Cytidine aminohydrolase)
P39525	CEM1	3-oxoacyl-[acyl-carrier-protein] synthase homolog (EC 2.3.1.41) (Beta-ketoacyl-ACP synthase homolog)
D6W196	SAL1	Truncated non-functional calcium-binding mitochondrial carrier SAL1-1 (Suppressor of AAC2 lethality)
P22137	CHC1	Clathrin heavy chain
P25612	AAD3	Putative aryl-alcohol dehydrogenase AAD3 (EC 1.1.1.-)
P36117	ALY1	Arrestin-related trafficking adapter 6 (Arrestin-like protein 1)
Q08269	ALR1	Magnesium transporter ALR1 (Aluminum resistance protein 1)
P14540	FBA1	Fructose-bisphosphate aldolase (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase)
P43549	AQY3	Aquaglycerol porin AQY3 (Aquaporin-3)
P15274	AMD1	AMP deaminase (EC 3.5.4.6) (Myoadenylate deaminase)
Q03687	ANY1	Scramblase ANY1 (Antagonizes NEO1 phospholipid flippase protein 1) (CDC50 suppressor 1)
P53895	ASI2	Protein ASI2 (Amino acid sensor-independent protein 2)
Q12675	DNF2	Phospholipid-transporting ATPase DNF2 (EC 7.6.2.1) (Flippase DNF2)
Q04052	ARO80	Transcriptional activator ARO80
P53244	ART5	Arrestin-related trafficking adapter 5
P47117	ARP3	Actin-related protein 3 (Actin-like protein ARP3) (Actin-like protein 3)
P35183	AST1	Protein AST1
P39945	AST2	Protein AST2
P38731	ARN1	Siderophore iron transporter ARN1 (Ferrichrome permease)
Q12406	ARP7	Actin-related protein 7 (Actin-like protein ARP7) (Chromatin structure-remodeling complex protein ARP7) (SWI/SNF complex component ARP7)
P31386	ATS1	Protein KTI13 (Alpha-tubulin suppressor 1) (Kluyveromyces lactis toxin-insensitive protein 13)
P33313	CNS1	Hsp70/Hsp90 co-chaperone CNS1 (Cyclophilin seven suppressor 1) (STI1 stress-inducible protein homolog)
P30902	ATP7	ATP synthase subunit d, mitochondrial
P50944	AVT4	Vacuolar amino acid transporter 4
P40452	COA1	Cytochrome c oxidase assembly factor 1
P38176	AVT5	Vacuolar amino acid transporter 5
Q12500	AVL9	Late secretory pathway protein AVL9 (APL2 VPS1 synthetic lethal protein 9)
Q08754	BUD7	Bud site selection protein 7
P38346	BIT2	Probable target of rapamycin complex 2 subunit BIT2 (TORC2 subunit BIT2) (Binding partner of TOR2 protein 2)
Q06071	BLS1	Biogenesis of lysosome-related organelles complex 1 subunit BLS1 (BLOC-1 subunit BLS1) (BLOS1-homolog)
P03965	CPA2	Carbamoyl-phosphate synthase arginine-specific large chain (EC 6.3.5.5) (Arginine-specific carbamoyl-phosphate synthetase, ammonia chain)
P38910	HSP10	10 kDa heat shock protein, mitochondrial (HSP10) (10 kDa chaperonin)
P36064	CMC1	COX assembly mitochondrial protein (COX biogenesis factor CMC1) (Cx9C mitochondrial COX assembly protein 1) (Mitochondrial metallochaperone-like protein CMC1)
Q02486	ABF2	ARS-binding factor 2, mitochondrial
P52893	ALT1	Probable alanine aminotransferase, mitochondrial (EC 2.6.1.2) (Glutamate pyruvate transaminase) (GPT) (Glutamic--alanine transaminase) (Glutamic--pyruvic transaminase)
P87275	AIM11	Altered inheritance of mitochondria protein 11 (Genetic interactor of prohibitins 8)
Q05955	ADY4	Accumulates dyads protein 4
P40467	ASG1	Activator of stress genes 1
P38724	ARN2	Siderophore iron transporter ARN2 (Triacetylfusarinine C permease) (Triacetylfusarinine C transporter 1)
P32450	AUA1	Ammonia regulation of amino acid uptake protein
P00830	ATP2	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2)
P13090	ATR1	Aminotriazole resistance protein
P40471	AYR1	NADPH-dependent 1-acyldihydroxyacetone phosphate reductase (ADR) (EC 1.1.1.101) (1-acyl DHAP reductase) (Acyl/alkyl DHAP reductase) (Acylglycerone-phosphate reductase) (Triacylglycerol lipase AYR1) (TAG lipase) (EC 3.1.1.3)
P48016	ATH1	Periplasmic acid trehalase ATH1 (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)
P18496	ATP10	Mitochondrial ATPase complex subunit ATP10
P40013	BIM1	Protein BIM1
Q12365	BBP1	Spindle pole component BBP1 (BFR1-binding protein 1)
Q07660	BRE4	Protein BRE4 (Brefeldin A-sensitivity protein 4)
P38084	BAP2	Leu/Val/Ile amino-acid permease (Branched-chain amino-acid permease 2)
P38813	BIG1	Protein BIG1 (Bad in glucose protein 1)
P50077	CCH1	Calcium-channel protein CCH1
Q01649	CIK1	Spindle pole body-associated protein CIK1 (Chromosome instability and karyogamy protein 1)
P14284	REV3	DNA polymerase zeta catalytic subunit (EC 2.7.7.7) (Protein reversionless 3)
P15790	CKA1	Casein kinase II subunit alpha (CK II subunit alpha) (EC 2.7.11.1)
P25574	EMC1	ER membrane protein complex subunit 1
Q12431	EMC6	ER membrane protein complex subunit 6
P32799	COX13	Cytochrome c oxidase subunit 13, mitochondrial (Cytochrome c oxidase polypeptide VIa)
P00045	CYC7	Cytochrome c isoform 2 (Iso-2-cytochrome c) (Cytochrome c hypoxic isoform)
Q03375	CWC21	Pre-mRNA-splicing factor CWC21 (Complexed with CEF1 protein 21)
Q12089	AEP3	ATPase expression protein 3
Q08951	APL5	AP-3 complex subunit delta (Adaptor-related protein complex 3 subunit delta) (Delta-adaptin 3) (Delta-adaptin)
P46682	APL6	AP-3 complex subunit beta (Adaptor-related protein complex 3 subunit beta) (Beta-3-adaptin) (Clathrin assembly protein complex 3 beta large chain) (Clathrin assembly protein large beta chain)
P40527	NEO1	Probable phospholipid-transporting ATPase NEO1 (EC 7.6.2.1)
P53332	CAB4	Phosphopantetheine adenylyltransferase (PPAT) (EC 2.7.7.3) (Coenzyme A biosynthesis protein 4) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase)
P35206	CSG2	Mannosyl phosphorylinositol ceramide synthase regulatory protein CSG2
P19454	CKA2	Casein kinase II subunit alpha' (CK II) (EC 2.7.11.1)
P21306	ATP15	ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon)
P22035	BAS1	Myb-like DNA-binding protein BAS1
P50277	BIO3	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (Diaminopelargonic acid synthase)
P24870	CLB3	G2/mitotic-specific cyclin-3
P27697	COQ8	Atypical kinase COQ8, mitochondrial (EC 2.7.-.-) (Activity of bc1 complex protein 1) (Coenzyme Q protein 8) (Ubiquinone biosynthesis protein COQ8)
P53301	CRH1	Probable glycosidase CRH1 (EC 3.2.-.-) (Congo red hypersensitive protein 1)
P38113	ADH5	Alcohol dehydrogenase 5 (EC 1.1.1.1) (Alcohol dehydrogenase V)
Q12032	AIM41	Altered inheritance of mitochondria protein 41, mitochondrial
P38971	ALP1	Basic amino-acid permease
P38266	AIM3	Altered inheritance of mitochondria protein 3
P53943	AQR1	Probable transporter AQR1
P38179	ALG3	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (HM-1 killer toxin resistance protein)
Q04212	ARA2	D-arabinose 1-dehydrogenase (EC 1.1.1.116) (NAD(+)-specific D-arabinose dehydrogenase)
Q06497	ANT1	Peroxisomal adenine nucleotide transporter 1
P0CX77	ASP3-2	L-asparaginase 2-2 (EC 3.5.1.1) (L-asparaginase II) (L-asparagine amidohydrolase II) (ASP II)
Q06834	ASR1	Alcohol-sensitive RING finger protein 1
P16639	ATE1	Arginyl-tRNA--protein transferase 1 (Arginyltransferase 1) (R-transferase 1) (EC 2.3.2.8) (Arginine-tRNA--protein transferase 1)
P40353	ATF1	Alcohol O-acetyltransferase 1 (AATase 1) (EC 2.3.1.84) (EC 3.1.2.20)
P38182	ATG8	Autophagy-related protein 8 (Autophagy-related ubiquitin-like modifier ATG8) (Cytoplasm to vacuole targeting protein 5)
Q05789	ATG38	Autophagy-related protein 38
P22768	ARG1	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)
Q12509	ARP6	Actin-like protein ARP6
P33204	ARC19	Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa) (p20-ARC)
P38995	CCC2	Copper-transporting ATPase (EC 7.2.2.8) (Cu(2+)-ATPase)
Q12067	ATX2	Metal homeostasis factor ATX2
P00854	ATP6	ATP synthase subunit a (F-ATPase protein 6)
P39981	AVT2	Vacuolar amino acid transporter 2
P17891	CLC1	Clathrin light chain (CLC)
P41696	AZF1	Asparagine-rich zinc finger protein AZF1
P53744	BIO5	7-keto 8-aminopelargonic acid transporter (KAPA transporter)
P47068	BBC1	Myosin tail region-interacting protein MTI1 (Protein BBC1)
P39011	BEM4	Bud emergence protein 4
P29366	BEM1	Bud emergence protein 1 (Suppressor of RHO3 protein 1)
P48445	BPL1	Biotin--protein ligase (EC 6.3.4.-) (Biotin apo-protein ligase) [Includes: Biotin--[methylmalonyl-CoA-carboxytransferase] ligase (EC 6.3.4.9); Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase (EC 6.3.4.10) (Holocarboxylase synthetase) (HCS); Biotin--[methylcrotonoyl-CoA-carboxylase] ligase (EC 6.3.4.11); Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15)]
Q12291	BMT6	25S rRNA (uridine(2843)-N(3))-methyltransferase (EC 2.1.1.312) (Base methyltransferase of 25S RNA 6)
P00425	COX5B	Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)
Q03771	ACL4	Assembly chaperone of RPL4
P12904	SNF4	5'-AMP-activated protein kinase subunit gamma (AMPK gamma) (AMPK subunit gamma) (Regulatory protein CAT3) (Sucrose non-fermenting protein 4)
P21192	ACE2	Metallothionein expression activator
Q08902	AMF1	Low affinity ammonium transporter (Ammonium facilitator 1)
Q08223	AIM39	Altered inheritance of mitochondria protein 39, mitochondrial
P10127	ADH4	Alcohol dehydrogenase 4 (EC 1.1.1.1) (Alcohol dehydrogenase IV) (ADHIV)
P24813	CAD1	AP-1-like transcription factor YAP2 (Cadmium resistance protein 1) (Transcription factor CAD1)
Q06598	ARR3	Arsenical-resistance protein 3 (Arsenic compounds resistance protein 3) (As(III)/H(+) and Sb(III)/H(+)antiporter)
P40969	CEP3	Centromere DNA-binding protein complex CBF3 subunit B (Centromere protein 3)
P53188	CGR1	rRNA-processing protein CGR1 (Coiled-coil growth-regulated protein 1)
P13365	CLN3	G1/S-specific cyclin CLN3
P22516	CHL1	ATP-dependent DNA helicase CHL1 (EC 3.6.4.12) (Chromosome loss protein 1) (Chromosome transmission fidelity protein 1)
Q12453	CEX1	Cytoplasmic export protein 1
P04821	CDC25	Cell division control protein 25
P38170	BRN1	Condensin complex subunit 2 (Barren homolog) (CAPH homolog)
Q05521	DPP1	Diacylglycerol pyrophosphate phosphatase 1 (DGPP phosphatase) (EC 3.1.3.81) (Phosphatidate phosphatase) (EC 3.1.3.4)
P39112	DSS1	Exoribonuclease II, mitochondrial (RNase II) (Ribonuclease II) (EC 3.1.13.1) (Deletion of SUV3 suppressor 1) (Mitochondrial biogenesis protein MSU1)
P32601	DSS4	Protein DSS4
Q08225	YOL057W	Probable dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl arylamidase III) (Dipeptidyl peptidase III) (DPP III)
Q99247	DUF1	DUB-associated factor 1
P43616	DUG1	Cys-Gly metallodipeptidase DUG1 (EC 3.4.13.-) (Deficient in utilization of glutathione protein 1) (GSH degradosomal complex subunit DUG1)
P38149	DUG2	Probable di- and tripeptidase DUG2 (EC 3.4.-.-) (Deficient in utilization of glutathione protein 2) (GSH degradosomal complex subunit DUG2)
P53871	DUG3	Probable glutamine amidotransferase DUG3 (Deficient in utilization of glutathione protein 3) (GSH degradosomal complex subunit DUG3)
P38287	CSH1	Mannosyl phosphorylinositol ceramide synthase CSH1 (EC 2.-.-.-) (CSG1/SUR1 homolog 1)
P39009	DUN1	DNA damage response protein kinase DUN1 (EC 2.7.11.1)
Q08226	CRT10	Protein CRT10 (Constitutive RNR transcription regulator 10)
P32528	DUR1,2	Urea amidolyase [Includes: Urea carboxylase (EC 6.3.4.6); Allophanate hydrolase (EC 3.5.1.54)]
Q08054	CSI2	Chitin synthase 3 complex protein CSI2
P25651	CSM1	Monopolin complex subunit CSM1 (Chromosome segregation in meiosis protein 1)
P53854	CWC25	Pre-mRNA-splicing factor CWC25 (Complexed with CEF1 protein 25)
P43497	CWP2	Cell wall protein CWP2 (Low pH resistance protein 1)
P14922	CYC8	General transcriptional corepressor CYC8 (Glucose repression mediator protein CYC8)
Q04792	GAD1	Glutamate decarboxylase (GAD) (EC 4.1.1.15)
P38903	RTS1	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform (PP2A, B subunit, B' delta isoform) (Protein RTS1) (Protein SCS1)
Q00955	ACC1	Acetyl-CoA carboxylase (ACC) (EC 6.4.1.2) (Fatty acid synthetase 3) (mRNA transport-defective protein 7) [Includes: Biotin carboxylase (EC 6.3.4.14)]
